,CommentText,Nickname,Date,LikesCount,IsBaseComment
190,Мой прогноз:ПСЖМСБаварияЛиверпульЮвентусАяксМЮ,Ибрагим Агабалаев,2022-02-26 21:30:00,0,True
191,"Да все по факту, вторые матчи покажут, кто сильнее. Обычно так бывает.",Дмитрий Титов,2022-02-26 23:33:00,0,True
192,"МС и Ливерпуль точно идут дальше, а остальные под вопросом. Все равны.",Дмитрий Титов,2022-02-26 23:34:00,0,True
193,Спортинг МС,Михаил Хаверц,2022-02-27 18:25:00,0,True
194,МС удивил,Олег Нурбеков,2022-02-27 21:23:00,0,True
195,Кому экспрес на ночные матчи?,Кайрат Байтурин,2022-02-27 22:15:00,0,True
196,Зальцбург должен был выигрвать,Иван Иваныч,2022-02-28 10:55:00,0,True
197,Прощай прощай,Aleksandr Zhiglov,2022-03-01 03:59:00,0,True
198,Спортинг-Мс неожиданно раскатали в гостях.,Данил Алешкин,2022-03-01 18:42:00,0,True
199,Русские орки Пиздуйте на митинги,Денис Денисов,2022-03-01 19:53:00,0,True
200,"Россияне, завтра мы все бунтуем. Максимально распространяйте этот коммент и флудите им — и в сети, и в жизни, чтобы все знали, что нас много, и что мы это сделаем. Мы не боимся и можем выйти ВСЕ вместе. Этот коммент должен быть везде, каждый должен видеть/слышать/знать",Sasha Rozhkov,2022-03-01 23:10:00,0,True
201,"Россияне, завтра мы все бунтуем. Максимально распространяйте этот коммент и флудите им — и в сети, и в жизни, чтобы все знали, что нас много, и что мы это сделаем. Мы не боимся и можем выйти ВСЕ вместе. Этот коммент должен быть везде, каждый должен видеть/слышать/знать",Sasha Rozhkov,2022-03-01 23:10:00,0,True
202,когда встречные матчи????,Мурат Сапаргалиев,2022-03-02 04:19:00,0,True
203,Доброе утро Хватит воевать,Дмитрий Зотов,2022-03-02 08:54:00,0,True
204,-,Ваня Ціхан,2022-03-03 01:24:00,0,True
205,"Падение будет больным ,а вот подьем будет долгим ,жестким и тяжелым",Вадим Христа,2022-03-03 13:46:00,0,True
206,Сербия Вождовац - Црвена Звезда1 тайм 1 больше,Дмитрий Зотов,2022-03-03 17:09:00,0,True
207,"Дмитрий, уйня а не ставка",Андрей Мостовой,2022-03-03 18:29:00,0,False
208,Халява подъехала,Дмитрий Зотов,2022-03-03 17:09:00,0,True
209,Жду ответку псж-Реал будет жарко на Сантьяго бернабеу,Иван Колсанов,2022-03-03 22:20:00,0,True
210,Австралия женщиныНьюкасл - Брисбен Роар1 тайм 1 больше кф 2+Халяву берите,Дмитрий Зотов,2022-03-04 12:03:00,0,True
