,CommentText,Nickname,Date,LikesCount,IsBaseComment
168," О, научился не только выражать озабоченность но и призывать. Еще лет десять и научится сразу указом такие вопросы регулировать. Или нет? ", DropBoxx3 ,2022-02-17 08:40:00,14,True
169," ...все это полумеры, вернее лишь намерения.....Нужно менять миграционное законодательство в корне....У России достаточно своих трудовых ресурсов. Пора прекратить потакать так называемому ""бизнесу"" и ужесточить условия о приеме на работу мигрантов. Всех поголовно отфильтровать и оставить лишь высококвалифицированных специалистов, причем не навсегда, а на определенный проверочный период. ", Vlad41g ,2022-02-17 08:40:00,20,True
170, Значит и судить и штрафовать их будут по нашим законам а не отправлять на родину. , Виталий Г ,2022-02-17 08:41:00,8,False
171, Есть те кто научит родину любить. , Виталий Г ,2022-02-17 08:43:00,7,False
172, Да стоит перестать потакать бизнесу. Глядишь и за работников держаться будут. , Виталий Г ,2022-02-17 08:47:00,15,False
173," Границы для мигрантов открыты, сегодня выгнали из Москвы завтра от будет в Питере, только по другому паспорту))) ", Николай Черепанов ,2022-02-17 08:49:00,15,True
174, Так тебя и послушали! , Валерий Ханислямов ,2022-02-17 08:50:00,5,True
175, Вы бы знали как новое поколение азии не рожденное в ссср ведёт себя с живущими у них в стране русскоязычным населением. Ужасно грубо. , Виталий Г ,2022-02-17 08:52:00,19,True
176, Пока они ещё не понимают что два на одного как они привыкли это статья. А выходить один на один бояться. , Виталий Г ,2022-02-17 08:57:00,12,False
177," А что легальные мигранты ведут себя лучше? Или опять затаскивание рака за камень? Вместо того, чтобы решать эти проблемы мы переводим их в разряд болтовни ", Vsevolod Naconkin ,2022-02-17 09:00:00,27,True
178," А господин Собянин что говорит? Ещё отмечу - тут недавно наш МИД, не помню в лице кого, перед встречей без рукопожатия Путина и Си Цзиньпина, высказался об едином Китае... А что будет с Россией если Тайвань откажется призводить для нужд России чипы и платы... Это лицо - об этом подумало? У нас ведь за душой ничего нет...И весь оборонный комплекс России за пару-тройку лет окажется на нуле... Лавров за это ответит? или Путин? ", Александр ,2022-02-17 09:02:00,19,True
179, ВЫСЫЛАТЬ на родину пожизненно и их родственников !!! Что бы НЕ создовали в России своих КЛАНОВ !!!! , sergei.i.oo ,2022-02-17 09:02:00,38,True
